Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";Примечание;"Категория товара";Наличие
"Универсальная коляска Cam Elegant Family (3 в 1) 95";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_95.jpeg;;Коляски;склад
"Универсальная коляска Cam Elegant Family (3 в 1) 157";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_157.jpeg;;Коляски;склад
"Универсальная коляска Cam Elegant Family (3 в 1) 158";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_158.jpeg;;Коляски;склад
"Универсальная коляска Cam Elegant Family (3 в 1) 159";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_159.jpeg;;Коляски;склад
"Универсальная коляска Cam Elegant Family (3 в 1) 400";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_400.jpeg;;Коляски;склад
"Универсальная коляска Cam Elegant Family (3 в 1) 160";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_160.jpeg;;Коляски;склад
"Прогулочная коляска Cam Cortina Evolution X3 Tris Activ (3 в 1) 176";929;http://127.0.0.1/product/cam-cortina-evolution-x3-tris;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_activ__3_v_1__cvet_176.jpeg;;Коляски;склад
"Прогулочная коляска Cam Cortina Evolution X3 Tris Activ (3 в 1) 175";929;http://127.0.0.1/product/cam-cortina-evolution-x3-tris;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_activ__3_v_1__cvet_175.jpeg;;Коляски;склад
"Прогулочная коляска Cam Cortina Evolution X3 Tris Activ (3 в 1) 179";929;http://127.0.0.1/product/cam-cortina-evolution-x3-tris;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_activ__3_v_1__cvet_179.jpeg;;Коляски;склад
"Прогулочная коляска Cam Cortina Evolution X3 Tris Special (3 в 1) 400";955;http://127.0.0.1/product/cam-cortina-evolution-x3-tris-special;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_special__3_v_1__cvet_400.jpeg;;Коляски;склад
"Прогулочная коляска Cam Cortina Evolution X3 Tris Special (3 в 1) 159";955;http://127.0.0.1/product/cam-cortina-evolution-x3-tris-special;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_special__3_v_1__cvet_159.jpeg;;Коляски;склад
"Прогулочная коляска Cam Cortina Evolution X3 Tris Special (3 в 1) 180";955;http://127.0.0.1/product/cam-cortina-evolution-x3-tris-special;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_special__3_v_1__cvet_180.jpeg;;Коляски;склад
"Детское автокресло Cam Area Zero+ 176";150;http://127.0.0.1/product/cam-area-zero;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_area_zero__cvet_176.jpeg;;Автокресла;склад
"Детское автокресло Cam Area Zero+ 178";150;http://127.0.0.1/product/cam-area-zero;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_area_zero__cvet_178.jpeg;;Автокресла;склад
"Детское автокресло Cam Area Zero+ 186";150;http://127.0.0.1/product/cam-area-zero;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_area_zero__cvet_186.jpeg;;Автокресла;склад
"Детское автокресло Cam Area Zero+ 141";150;http://127.0.0.1/product/cam-area-zero;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_area_zero__cvet_141.jpeg;;Автокресла;склад
