Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
Erbesi;Perla;2035;21672750
Erbesi;Perlina;750;7987500
Erbesi;Chicca;845;8999250
Erbesi;Prezioso;585;6230250
Erbesi;Lulu;593;6315450
Erbesi;Teo;530;5644500
Erbesi;Fiocco;757;8062050
Erbesi;Cucciolo;3199;34069350
Erbesi;Amour;973;10362450
Erbesi;Pretty;848;9031200
Erbesi;Sogno;1300;13845000
Erbesi;Tesoro;2035;21672750
Erbesi;Dolce;1604;17082600
Erbesi;Brigette;1468;15634200
Erbesi;Aurora;600;6390000
Erbesi;Abbraccio;807;8594550
Erbesi;Sonia;2396;25517400
Erbesi;"Petit Bebe";2366;25197900
Erbesi;Teddi;1120;997
Erbesi;Classique;1270;13525500
Erbesi;Incanto;2920;31098000
Erbesi;Brillante;1312;13972800
Erbesi;Hippy;1473;15687450
Erbesi;Camilla;855;9105750
"Bertoni (Lorelli)";"Travel Kid Roker 2";119;1273300
"Bertoni (Lorelli)";"Dream Time";57;609900
"Bertoni (Lorelli)";"Top Relax";48;513600
Capella;"S-901 Сибирь";250;2662500
Capella;S-321;165;1757250
Jetem;"Cobra (2 в 1)";500;5325000
Jetem;"Prism (Capella s-901)";240;2556000
NeoNato;"Reverso Sport Tris (3 в 1)";900;9585000
NeoNato;"Synchro Romance (3 в 1)";970;10330500
Pali;Pappy-Re;220;2343000
Pali;Eclettika;170;1810500
Pali;Up;120;1278000
Pali;Principe;1438;15314700
Pali;"Baby Baby";1341;14281650
Pali;Elena;795;8466750
Pali;"Magic Prestige";1539;16390350
Pali;"Classic Prestige";1284;13674600
Pali;"Little Star Prestige";1115;11874750
Pali;"Tiffany Prestige";880;9372000
Pali;"Caprice Royal";3944;42003600
Pali;"Gigi & Lele";3616;38510400
Pali;Rigoletto;845;8999250
Pali;Renee;797;8488050
Pali;"My Love";3477;37030050
Pali;"Art Nouveau";1659;17668350
Pali;Deseree;545;5804250
Pali;Ciak;375;3993750
Pali;Iris;1419;15112350
Pali;City;333;3546450
Pali;Tommy;409;4355850
Pali;Milly;506;5388900
Pali;"Smart Bosco";763;8125950
Pali;"Smart Maison bebe";1557;16582050
Pali;Four;508;5410200
Pali;Armadio;656;6986400
Pali;Como;626;6666900
"Bertoni (Lorelli)";Calypso;157;1679900
"Bertoni (Lorelli)";Flash;42;449400
